timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727184482743,49207,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184482743,4662,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184482743,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184483752,49207,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184483752,1550,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184483752,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184484765,49045,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184484765,1935,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184484765,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184485777,49050,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184485777,1944,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184485777,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184486785,49169,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184486785,3076,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184486785,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184487795,49125,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184487795,400,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184487795,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184488806,49125,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184488806,1132,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184488806,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184489810,49159,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184489810,15225,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184489810,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184490811,49169,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184490812,17140,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184490812,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184491812,49163,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184491812,16395,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184491812,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184492815,49163,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184492815,14958,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184492815,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184493824,49162,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184493824,21494,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184493824,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184494824,49163,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184494824,9727,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184494824,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184495834,49159,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184495834,1550,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184495834,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184496845,49158,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184496845,799,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184496845,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184497855,49158,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184497855,369,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184497855,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184498869,49157,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184498869,3076,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184498869,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184499871,49157,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184499871,8597,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184499871,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184500882,49256,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184500882,18837,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184500883,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184501884,49282,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184501884,11700,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184501884,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184502889,49254,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184502889,15250,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184502889,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184503898,49253,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
